BLOCKID|PLACEFP
480019501001000|
480019501001001|27300
480019501001002|27300
480019501001003|
480019501001004|27300
480019501001005|27300
480019501001006|
480019501001007|
480019501001008|27300
480019501001009|27300
480019501001010|27300
480019501001011|27300
480019501001012|27300
480019501001013|27300
480019501001014|27300
480019501001015|27300
480019501001016|27300
480019501001017|27300
480019501001018|27300
480019501001019|27300
480019501001020|27300
480019501001021|27300
480019501001022|27300
480019501001023|27300
480019501001024|
480019501001025|
480019501001026|27300
480019501001027|27300
480019501001028|27300
480019501001029|27300
480019501001030|27300
480019501001031|
480019501001032|27300
480019501001033|27300
480019501001034|27300
480019501001035|27300
480019501001036|27300
480019501001037|27300
480019501001038|27300
480019501001039|27300
480019501001040|27300
480019501001041|27300
480019501001042|27300
480019501001043|27300
480019501001044|27300
480019501001045|27300
480019501001046|27300
480019501001047|27300
480019501001048|27300
480019501001049|27300
480019501001050|27300
480019501001051|27300
480019501001052|
480019501001053|27300
480019501001054|27300
480019501001055|27300
480019501001056|27300
480019501001057|27300
480019501001058|27300
480019501001059|27300
480019501001060|27300
480019501001061|27300
480019501001062|27300
480019501001063|27300
480019501001064|27300
480019501001065|27300
480019501001066|27300
480019501001067|27300
480019501001068|27300
480019501001069|27300
480019501001070|27300
480019501001071|27300
480019501001072|27300
480019501001073|27300
480019501001074|27300
480019501001075|27300
480019501001076|27300
480019501001077|27300
480019501001078|27300
480019501001079|27300
480019501001080|27300
480019501001081|
480019501001082|27300
480019501001083|
480019501001084|
480019501001085|
480019501001086|27300
480019501001087|
480019501001088|27300
480019501001089|
480019501001090|
480019501001091|27300
480019501002000|
480019501002001|
480019501002002|
480019501002003|
480019501002004|
480019501002005|
480019501002006|
480019501002007|
480019501002008|
480019501002009|
480019501002010|
480019501002011|
480019501002012|
480019501002013|
480019501002014|
480019501002015|
480019501002016|
480019501002017|27300
480019501002018|27300
480019501002019|
480019501002020|
480019501002021|
480019501002022|
480019501002023|
480019501002024|
480019501002025|
480019501002026|
480019501002027|
480019501002028|27300
480019501002029|
480019501002030|
480019501002031|
480019501002032|
480019501002033|
480019501002034|
480019501002035|
480019501002036|
480019501002037|
480019501002038|
480019501002039|
480019501002040|
480019501002041|
480019501002042|
480019501002043|
480019501002044|
480019501002045|
480019501002046|
480019501002047|
480019501002048|
480019501002049|
480019501002050|
480019501002051|
480019501002052|
480019501002053|
480019501002054|
480019501002055|
480019501002056|
480019501002057|
480019501002058|
480019501002059|
480019501002060|
480019501002061|
480019501002062|
480019501002063|
480019501002064|
480019501002065|
480019501002066|
480019501002067|
480019501002068|
480019501002069|
480019501002070|
480019501002071|
480019501002072|
480019501002073|
480019501002074|
480019501002075|
480019501002076|
480019501002077|
480019501002078|
480019501002079|
480019501002080|
480019501002081|
480019501002082|
480019501002083|
480019501002084|
480019501002085|
480019501002086|
480019501002087|
480019501002088|
480019501002089|
480019501002090|
480019501002091|
480019501002092|
480019501002093|
480019501002094|
480019501002095|
480019501002096|
480019501002097|
480019501002098|
480019501002099|
480019501002100|
480019501002101|
480019501002102|
480019501002103|
480019501002104|
480019501002105|
480019501002106|
480019501002107|
480019501002108|
480019501002109|
480019501002110|
480019501002111|
480019501002112|
480019501002113|
480019501002114|
480019501002115|
480019501002116|
480019501002117|
480019501002118|
480019501002119|
480019501002120|
480019501002121|
480019501002122|
480019501002123|
480019501002124|
480019501002125|
480019501002126|
480019501002127|
480019501002128|
480019501002129|
480019501002130|
480019501002131|
480019501002132|
480019501002133|
480019501002134|
480019501002135|
480019501002136|
480019501002137|
480019501002138|50544
480019501002139|50544
480019501002140|50544
480019501002141|
480019501002142|
480019501002143|
480019501002144|
480019501002145|50544
480019501002146|50544
480019501002147|50544
480019501002148|
480019501002149|
480019501002150|
480019501002151|
480019501002152|
480019501002153|
480019501002154|50544
480019501002155|50544
480019501002156|
480019501002157|
480019501002158|
480019501002159|
480019501002160|
480019501002161|
480019501002162|
480019501002163|
480019501002164|
480019501003000|
480019501003001|
480019501003002|
480019501003003|
480019501003004|
480019501003005|
480019501003006|
480019501003007|
480019501003008|
480019501003009|
480019501003010|
480019501003011|
480019501003012|
480019501003013|
480019501003014|
480019501003015|
480019501003016|27300
480019501003017|27300
480019501003018|
480019501003019|
480019501003020|
480019501003021|
480019501003022|
480019501003023|
480019501003024|
480019501003025|
480019501003026|
480019501003027|
480019501003028|
480019501003029|
480019501003030|
480019501003031|
480019501003032|
480019501003033|
480019501003034|
480019501003035|
480019501003036|
480019501003037|
480019501003038|
480019501003039|
480019501003040|
480019501003041|
480019501003042|
480019501003043|
480019501003044|
480019501003045|
480019501003046|
480019501003047|
480019501003048|
480019501003049|
480019501003050|
480019501003051|
480019501003052|
480019501003053|
480019501003054|
480019501003055|
480019501003056|
480019501003057|
480019501003058|
480019501003059|
480019501003060|
480019501003061|
480019501003062|
480019501003063|
480019501003064|
480019501003065|
480019501003066|
480019501003067|
480019501003068|
480019501003069|
480019501003070|
480019501003071|
480019501003072|
480019501003073|
480019501003074|
480019501003075|
480019501003076|
480019501003077|
480019501003078|
480019501003079|
480019501003080|
480019501003081|
480019501003082|
480019501003083|
480019501003084|
480019501003085|
480019501003086|
480019501003087|
480019501003088|
480019501003089|
480019501003090|
480019504011000|
480019504011001|
480019504011002|
480019504011003|
480019504011004|
480019504011005|
480019504011006|
480019504011007|
480019504011008|
480019504011009|
480019504011010|
480019504011011|
480019504011012|
480019504011013|
480019504011014|
480019504011015|
480019504011016|
480019504011017|
480019504011018|
480019504011019|
480019504011020|
480019504021000|
480019504021001|
480019504021002|
480019504021003|
480019504021004|
480019504021005|
480019504021006|
480019504021007|
480019504021008|
480019504021009|
480019504021010|
480019504021011|
480019504021012|
480019504021013|
480019504021014|
480019504021015|
480019504021016|
480019504021017|
480019504021018|
480019504021019|
480019504021020|
480019504021021|
480019504021022|
480019504021023|
480019504021024|
480019504021025|
480019504021026|
480019504021027|
480019504021028|
480019504021029|
480019504021030|
480019504021031|
480019504021032|
480019504021033|
480019504021034|
480019504021035|
480019504021036|
480019505001000|
480019505001001|
480019505001002|
480019505001003|
480019505001004|54708
480019505001005|54708
480019505001006|54708
480019505001007|54708
480019505001008|54708
480019505001009|54708
480019505001010|54708
480019505001011|54708
480019505001012|54708
480019505001013|54708
480019505001014|
480019505001015|54708
480019505001016|54708
480019505001017|54708
480019505001018|54708
480019505001019|54708
480019505001020|54708
480019505001021|54708
480019505001022|54708
480019505001023|54708
480019505001024|
480019505001025|
480019505001026|54708
480019505001027|54708
480019505001028|54708
480019505001029|54708
480019505001030|54708
480019505001031|54708
480019505001032|54708
480019505001033|
480019505001034|54708
480019505002000|54708
