BLOCKID|DISTRICT
480019501001000|19770
480019501001001|19770
480019501001002|19770
480019501001003|19770
480019501001004|19770
480019501001005|19770
480019501001006|19770
480019501001007|19770
480019501001008|19770
480019501001009|19770
480019501001010|19770
480019501001011|19770
480019501001012|19770
480019501001013|19770
480019501001014|19770
480019501001015|19770
480019501001016|19770
480019501001017|19770
480019501001018|19770
480019501001019|19770
480019501001020|19770
480019501001021|19770
480019501001022|19770
480019501001023|19770
480019501001024|19770
480019501001025|19770
480019501001026|19770
480019501001027|19770
480019501001028|19770
480019501001029|19770
480019501001030|19770
480019501001031|19770
480019501001032|19770
480019501001033|19770
480019501001034|19770
480019501001035|19770
480019501001036|19770
480019501001037|19770
480019501001038|19770
480019501001039|19770
480019501001040|19770
480019501001041|19770
480019501001042|19770
480019501001043|19770
480019501001044|19770
480019501001045|19770
480019501001046|19770
480019501001047|19770
480019501001048|19770
480019501001049|19770
480019501001050|19770
480019501001051|19770
480019501001052|19770
480019501001053|19770
480019501001054|19770
480019501001055|19770
480019501001056|19770
480019501001057|19770
480019501001058|19770
480019501001059|19770
480019501001060|19770
480019501001061|19770
480019501001062|19770
480019501001063|19770
480019501001064|19770
480019501001065|19770
480019501001066|19770
480019501001067|19770
480019501001068|19770
480019501001069|19770
480019501001070|19770
480019501001071|19770
480019501001072|19770
480019501001073|19770
480019501001074|19770
480019501001075|19770
480019501001076|19770
480019501001077|19770
480019501001078|19770
480019501001079|19770
480019501001080|19770
480019501001081|19770
480019501001082|19770
480019501001083|19770
480019501001084|19770
480019501001085|19770
480019501001086|19770
480019501001087|19770
480019501001088|19770
480019501001089|19770
480019501001090|19770
480019501001091|19770
480019501002000|19770
480019501002001|19770
480019501002002|19770
480019501002003|19770
480019501002004|19770
480019501002005|19770
480019501002006|19770
480019501002007|19770
480019501002008|19770
480019501002009|19770
480019501002010|19770
480019501002011|19770
480019501002012|19770
480019501002013|19770
480019501002014|19770
480019501002015|19770
480019501002016|19770
480019501002017|19770
480019501002018|19770
480019501002019|19770
480019501002020|19770
480019501002021|19770
480019501002022|19770
480019501002023|19770
480019501002024|19770
480019501002025|19770
480019501002026|19770
480019501002027|19770
480019501002028|19770
480019501002029|19770
480019501002030|19770
480019501002031|19770
480019501002032|19770
480019501002033|19770
480019501002034|19770
480019501002035|19770
480019501002036|19770
480019501002037|19770
480019501002038|19770
480019501002039|19770
480019501002040|19770
480019501002041|19770
480019501002042|19770
480019501002043|19770
480019501002044|19770
480019501002045|19770
480019501002046|19770
480019501002047|19770
480019501002048|19770
480019501002049|19770
480019501002050|19770
480019501002051|19770
480019501002052|19770
480019501002053|19770
480019501002054|19770
480019501002055|19770
480019501002056|32250
480019501002057|32250
480019501002058|19770
480019501002059|32250
480019501002060|32250
480019501002061|32250
480019501002062|32250
480019501002063|32250
480019501002064|32250
480019501002065|32250
480019501002066|32250
480019501002067|19770
480019501002068|19770
480019501002069|19770
480019501002070|32250
480019501002071|32250
480019501002072|19770
480019501002073|19770
480019501002074|19770
480019501002075|19770
480019501002076|19770
480019501002077|19770
480019501002078|19770
480019501002079|19770
480019501002080|19770
480019501002081|32250
480019501002082|19770
480019501002083|32250
480019501002084|19770
480019501002085|32250
480019501002086|19770
480019501002087|32250
480019501002088|19770
480019501002089|19770
480019501002090|32250
480019501002091|32250
480019501002092|32250
480019501002093|32250
480019501002094|32250
480019501002095|32250
480019501002096|32250
480019501002097|19770
480019501002098|32250
480019501002099|32250
480019501002100|32250
480019501002101|32250
480019501002102|32250
480019501002103|32250
480019501002104|32250
480019501002105|32250
480019501002106|32250
480019501002107|32250
480019501002108|32250
480019501002109|32250
480019501002110|32250
480019501002111|32250
480019501002112|32250
480019501002113|32250
480019501002114|32250
480019501002115|32250
480019501002116|32250
480019501002117|32250
480019501002118|32250
480019501002119|32250
480019501002120|32250
480019501002121|32250
480019501002122|32250
480019501002123|32250
480019501002124|32250
480019501002125|32250
480019501002126|32250
480019501002127|32250
480019501002128|32250
480019501002129|32250
480019501002130|32250
480019501002131|32250
480019501002132|32250
480019501002133|32250
480019501002134|32250
480019501002135|32250
480019501002136|32250
480019501002137|32250
480019501002138|32250
480019501002139|32250
480019501002140|32250
480019501002141|32250
480019501002142|32250
480019501002143|32250
480019501002144|32250
480019501002145|32250
480019501002146|32250
480019501002147|32250
480019501002148|32250
480019501002149|32250
480019501002150|32250
480019501002151|32250
480019501002152|19770
480019501002153|32250
480019501002154|32250
480019501002155|32250
480019501002156|19770
480019501002157|19770
480019501002158|19770
480019501002159|19770
480019501002160|32250
480019501002161|32250
480019501002162|32250
480019501002163|32250
480019501002164|19770
480019501003000|19770
480019501003001|26220
480019501003002|26220
480019501003003|26220
480019501003004|26220
480019501003005|19770
480019501003006|19770
480019501003007|19770
480019501003008|19770
480019501003009|26220
480019501003010|26220
480019501003011|26220
480019501003012|26220
480019501003013|26220
480019501003014|26220
480019501003015|19770
480019501003016|19770
480019501003017|19770
480019501003018|19770
480019501003019|19770
480019501003020|19770
480019501003021|19770
480019501003022|26220
480019501003023|26220
480019501003024|26220
480019501003025|19770
480019501003026|26220
480019501003027|26220
480019501003028|26220
480019501003029|26220
480019501003030|19770
480019501003031|26220
480019501003032|19770
480019501003033|19770
480019501003034|26220
480019501003035|26220
480019501003036|26220
480019501003037|26220
480019501003038|26220
480019501003039|26220
480019501003040|26220
480019501003041|19770
480019501003042|19770
480019501003043|19770
480019501003044|26220
480019501003045|26220
480019501003046|19770
480019501003047|26220
480019501003048|26220
480019501003049|34050
480019501003050|19770
480019501003051|19770
480019501003052|34050
480019501003053|34050
480019501003054|19770
480019501003055|19770
480019501003056|19770
480019501003057|19770
480019501003058|19770
480019501003059|19770
480019501003060|19770
480019501003061|19770
480019501003062|19770
480019501003063|19770
480019501003064|34050
480019501003065|19770
480019501003066|19770
480019501003067|32250
480019501003068|32250
480019501003069|32250
480019501003070|32250
480019501003071|32250
480019501003072|32250
480019501003073|32250
480019501003074|32250
480019501003075|34050
480019501003076|34050
480019501003077|34050
480019501003078|34050
480019501003079|34050
480019501003080|34050
480019501003081|34050
480019501003082|34050
480019501003083|34050
480019501003084|34050
480019501003085|34050
480019501003086|34050
480019501003087|32250
480019501003088|32250
480019501003089|34050
480019501003090|32250
480019504011000|43290
480019504011001|43290
480019504011002|43290
480019504011003|43290
480019504011004|43290
480019504011005|43290
480019504011006|13200
480019504011007|13200
480019504011008|13200
480019504011009|43290
480019504011010|43290
480019504011011|13200
480019504011012|13200
480019504011013|43290
480019504011014|43290
480019504011015|43290
480019504011016|13200
480019504011017|43290
480019504011018|43290
480019504011019|43290
480019504011020|13200
480019504021000|13200
480019504021001|13200
480019504021002|13200
480019504021003|13200
480019504021004|13200
480019504021005|13200
480019504021006|13200
480019504021007|13200
480019504021008|13200
480019504021009|13200
480019504021010|13200
480019504021011|13200
480019504021012|13200
480019504021013|13200
480019504021014|13200
480019504021015|13200
480019504021016|13200
480019504021017|13200
480019504021018|13200
480019504021019|13200
480019504021020|13200
480019504021021|13200
480019504021022|13200
480019504021023|13200
480019504021024|13200
480019504021025|13200
480019504021026|43290
480019504021027|43290
480019504021028|13200
480019504021029|13200
480019504021030|13200
480019504021031|13200
480019504021032|13200
480019504021033|13200
480019504021034|13200
480019504021035|13200
480019504021036|13200
480019505001000|34050
480019505001001|34050
480019505001002|34050
480019505001003|34050
480019505001004|34050
480019505001005|34050
480019505001006|34050
480019505001007|34050
480019505001008|34050
480019505001009|34050
480019505001010|34050
480019505001011|34050
480019505001012|34050
480019505001013|34050
480019505001014|34050
480019505001015|34050
480019505001016|34050
480019505001017|34050
480019505001018|34050
480019505001019|34050
480019505001020|34050
480019505001021|34050
480019505001022|34050
480019505001023|34050
480019505001024|34050
480019505001025|34050
480019505001026|34050
480019505001027|34050
480019505001028|34050
480019505001029|34050
480019505001030|34050
480019505001031|34050
480019505001032|34050
480019505001033|34050
480019505001034|34050
480019505002000|34050
480019505002001|34050
480019505002002|34050
480019505002003|34050
480019505002004|34050
480019505002005|34050
480019505002006|34050
480019505002007|34050
480019505002008|34050
480019505002009|34050
480019505002010|34050
480019505002011|34050
480019505002012|34050
480019505002013|34050
480019505002014|34050
480019505002015|34050
480019505002016|34050
480019505002017|34050
480019505002018|34050
480019505002019|34050
480019505002020|34050
480019505002021|34050
480019505002022|34050
480019505002023|34050
480019505002024|34050
480019505002025|34050
480019505002026|34050
480019505002027|34050
480019505002028|34050
480019505002029|34050
480019505002030|34050
480019505002031|34050
480019505003000|34050
480019505003001|34050
480019505003002|34050
480019505003003|34050
480019505003004|34050
480019505003005|34050
480019505003006|34050
480019505003007|34050
480019505003008|34050
480019505003009|34050
480019505003010|34050
480019505003011|34050
480019505003012|34050
480019505003013|34050
480019505003014|34050
480019505003015|34050
480019505003016|34050
480019505003017|34050
480019505003018|34050
480019505003019|34050
480019505003020|34050
480019505003021|34050
480019505003022|34050
480019505003023|34050
480019505003024|34050
480019505003025|34050
480019505003026|34050
480019505003027|34050
480019505003028|34050
480019505003029|34050
480019505003030|34050
480019505003031|34050
480019505003032|34050
480019505003033|34050
480019505003034|34050
480019505003035|34050
480019505003036|34050
480019505003037|34050
480019505003038|34050
480019505003039|34050
480019505003040|34050
480019505003041|34050
480019505003042|34050
480019505003043|34050
480019505003044|34050
480019505003045|34050
480019505003046|34050
480019505003047|34050
480019505003048|34050
480019505003049|34050
480019505003050|34050
480019505003051|34050
480019505003052|34050
480019505003053|34050
480019505003054|34050
480019505003055|34050
480019505003056|34050
480019505003057|34050
480019505003058|34050
480019505003059|34050
480019505003060|34050
480019505003061|34050
480019505003062|34050
480019505003063|34050
480019505003064|34050
480019505003065|34050
480019505003066|34050
480019505003067|34050
480019505003068|34050
480019505003069|34050
480019505003070|34050
480019505003071|34050
480019505003072|34050
480019505003073|34050
480019505003074|34050
480019505003075|34050
480019505003076|34050
480019505003077|34050
480019505003078|34050
480019505003079|34050
480019505003080|34050
480019505003081|34050
480019505003082|34050
480019505003083|34050
480019505004000|34050
480019505004001|34050
480019505004002|34050
480019505004003|34050
480019505004004|34050
480019505004005|34050
480019505004006|34050
480019505004007|34050
480019505004008|34050
480019505004009|34050
480019505004010|34050
480019505004011|34050
480019505004012|34050
480019505004013|34050
480019505004014|34050
480019505004015|34050
480019505004016|34050
480019505004017|34050
480019505004018|34050
480019505004019|34050
480019505004020|34050
480019505004021|34050
480019505004022|34050
480019505004023|34050
480019505004024|34050
480019505004025|34050
480019505004026|34050
480019505004027|34050
480019505004028|34050
480019505004029|34050
480019505004030|34050
480019505004031|34050
480019505004032|34050
480019505004033|34050
480019505004034|34050
480019505004035|34050
480019505004036|34050
480019505004037|34050
480019505004038|34050
480019505004039|34050
480019505004040|34050
480019505004041|34050
480019506001000|34050
480019506001001|34050
480019506001002|34050
480019506001003|34050
480019506001004|34050
480019506001005|34050
480019506001006|43290
480019506001007|34050
480019506001008|43290
480019506001009|43290
480019506001010|34050
480019506001011|43290
480019506001012|43290
480019506001013|34050
480019506001014|43290
480019506001015|34050
480019506001016|43290
480019506001017|43290
480019506001018|43290
480019506001019|43290
480019506001020|43290
480019506001021|43290
480019506001022|43290
480019506001023|43290
480019506001024|43290
480019506001025|34050
480019506001026|34050
480019506001027|34050
480019506001028|34050
480019506001029|34050
480019506001030|34050
480019506001031|34050
480019506001032|34050
480019506001033|34050
480019506001034|34050
480019506001035|34050
480019506001036|34050
480019506001037|34050
480019506001038|34050
480019506001039|34050
480019506001040|34050
480019506001041|34050
480019506001042|34050
480019506001043|34050
480019506001044|34050
480019506001045|34050
480019506001046|34050
480019506001047|34050
480019506001048|34050
480019506001049|34050
480019506001050|34050
480019506001051|34050
480019506001052|34050
480019506001053|34050
480019506001054|34050
480019506001055|34050
480019506001056|34050
480019506001057|34050
480019506001058|34050
480019506001059|34050
480019506001060|34050
480019506001061|34050
480019506001062|34050
480019506001063|34050
480019506001064|34050
480019506001065|34050
480019506001066|34050
480019506001067|34050
480019506001068|34050
480019506001069|34050
480019506001070|34050
480019506001071|34050
480019506001072|34050
480019506001073|43290
480019506001074|34050
480019506001075|34050
480019506001076|34050
480019506001077|34050
480019506001078|34050
480019506001079|43290
480019506002000|43290
480019506002001|43290
480019506002002|43290
480019506002003|43290
480019506002004|43290
