BLOCKID|DISTRICT
480019501001000|008
480019501001001|008
480019501001002|008
480019501001003|008
480019501001004|008
480019501001005|008
480019501001006|008
480019501001007|008
480019501001008|008
480019501001009|008
480019501001010|008
480019501001011|008
480019501001012|008
480019501001013|008
480019501001014|008
480019501001015|008
480019501001016|008
480019501001017|008
480019501001018|008
480019501001019|008
480019501001020|008
480019501001021|008
480019501001022|008
480019501001023|008
480019501001024|008
480019501001025|008
480019501001026|008
480019501001027|008
480019501001028|008
480019501001029|008
480019501001030|008
480019501001031|008
480019501001032|008
480019501001033|008
480019501001034|008
480019501001035|008
480019501001036|008
480019501001037|008
480019501001038|008
480019501001039|008
480019501001040|008
480019501001041|008
480019501001042|008
480019501001043|008
480019501001044|008
480019501001045|008
480019501001046|008
480019501001047|008
480019501001048|008
480019501001049|008
480019501001050|008
480019501001051|008
480019501001052|008
480019501001053|008
480019501001054|008
480019501001055|008
480019501001056|008
480019501001057|008
480019501001058|008
480019501001059|008
480019501001060|008
480019501001061|008
480019501001062|008
480019501001063|008
480019501001064|008
480019501001065|008
480019501001066|008
480019501001067|008
480019501001068|008
480019501001069|008
480019501001070|008
480019501001071|008
480019501001072|008
480019501001073|008
480019501001074|008
480019501001075|008
480019501001076|008
480019501001077|008
480019501001078|008
480019501001079|008
480019501001080|008
480019501001081|008
480019501001082|008
480019501001083|008
480019501001084|008
480019501001085|008
480019501001086|008
480019501001087|008
480019501001088|008
480019501001089|008
480019501001090|008
480019501001091|008
480019501002000|008
480019501002001|008
480019501002002|008
480019501002003|008
480019501002004|008
480019501002005|008
480019501002006|008
480019501002007|008
480019501002008|008
480019501002009|008
480019501002010|008
480019501002011|008
480019501002012|008
480019501002013|008
480019501002014|008
480019501002015|008
480019501002016|008
480019501002017|008
480019501002018|008
480019501002019|008
480019501002020|008
480019501002021|008
480019501002022|008
480019501002023|008
480019501002024|008
480019501002025|008
480019501002026|008
480019501002027|008
480019501002028|008
480019501002029|008
480019501002030|008
480019501002031|008
480019501002032|008
480019501002033|008
480019501002034|008
480019501002035|008
480019501002036|008
480019501002037|008
480019501002038|008
480019501002039|008
480019501002040|008
480019501002041|008
480019501002042|008
480019501002043|008
480019501002044|008
480019501002045|008
480019501002046|008
480019501002047|008
480019501002048|008
480019501002049|008
480019501002050|008
480019501002051|008
480019501002052|008
480019501002053|008
480019501002054|008
480019501002055|008
480019501002056|008
480019501002057|008
480019501002058|008
480019501002059|008
480019501002060|008
480019501002061|008
480019501002062|008
480019501002063|008
480019501002064|008
480019501002065|008
480019501002066|008
480019501002067|008
480019501002068|008
480019501002069|008
480019501002070|008
480019501002071|008
480019501002072|008
480019501002073|008
480019501002074|008
480019501002075|008
480019501002076|008
480019501002077|008
480019501002078|008
480019501002079|008
480019501002080|008
480019501002081|008
480019501002082|008
480019501002083|008
480019501002084|008
480019501002085|008
480019501002086|008
480019501002087|008
480019501002088|008
480019501002089|008
480019501002090|008
480019501002091|008
480019501002092|008
480019501002093|008
480019501002094|008
480019501002095|008
480019501002096|008
480019501002097|008
480019501002098|008
480019501002099|008
480019501002100|008
480019501002101|008
480019501002102|008
480019501002103|008
480019501002104|008
480019501002105|008
480019501002106|008
480019501002107|008
480019501002108|008
480019501002109|008
480019501002110|008
480019501002111|008
480019501002112|008
480019501002113|008
480019501002114|008
480019501002115|008
480019501002116|008
480019501002117|008
480019501002118|008
480019501002119|008
480019501002120|008
480019501002121|008
480019501002122|008
480019501002123|008
480019501002124|008
480019501002125|008
480019501002126|008
480019501002127|008
480019501002128|008
480019501002129|008
480019501002130|008
480019501002131|008
480019501002132|008
480019501002133|008
480019501002134|008
480019501002135|008
480019501002136|008
480019501002137|008
480019501002138|008
480019501002139|008
480019501002140|008
480019501002141|008
480019501002142|008
480019501002143|008
480019501002144|008
480019501002145|008
480019501002146|008
480019501002147|008
480019501002148|008
480019501002149|008
480019501002150|008
480019501002151|008
480019501002152|008
480019501002153|008
480019501002154|008
480019501002155|008
480019501002156|008
480019501002157|008
480019501002158|008
480019501002159|008
480019501002160|008
480019501002161|008
480019501002162|008
480019501002163|008
480019501002164|008
480019501003000|008
480019501003001|008
480019501003002|008
480019501003003|008
480019501003004|008
480019501003005|008
480019501003006|008
480019501003007|008
480019501003008|008
480019501003009|008
480019501003010|008
480019501003011|008
480019501003012|008
480019501003013|008
480019501003014|008
480019501003015|008
480019501003016|008
480019501003017|008
480019501003018|008
480019501003019|008
480019501003020|008
480019501003021|008
480019501003022|008
480019501003023|008
480019501003024|008
480019501003025|008
480019501003026|008
480019501003027|008
