BLOCKID|DISTRICT
480019501001000|003
480019501001001|003
480019501001002|003
480019501001003|003
480019501001004|003
480019501001005|003
480019501001006|003
480019501001007|003
480019501001008|003
480019501001009|003
480019501001010|003
480019501001011|003
480019501001012|003
480019501001013|003
480019501001014|003
480019501001015|003
480019501001016|003
480019501001017|003
480019501001018|003
480019501001019|003
480019501001020|003
480019501001021|003
480019501001022|003
480019501001023|003
480019501001024|003
480019501001025|003
480019501001026|003
480019501001027|003
480019501001028|003
480019501001029|003
480019501001030|003
480019501001031|003
480019501001032|003
480019501001033|003
480019501001034|003
480019501001035|003
480019501001036|003
480019501001037|003
480019501001038|003
480019501001039|003
480019501001040|003
480019501001041|003
480019501001042|003
480019501001043|003
480019501001044|003
480019501001045|003
480019501001046|003
480019501001047|003
480019501001048|003
480019501001049|003
480019501001050|003
480019501001051|003
480019501001052|003
480019501001053|003
480019501001054|003
480019501001055|003
480019501001056|003
480019501001057|003
480019501001058|003
480019501001059|003
480019501001060|003
480019501001061|003
480019501001062|003
480019501001063|003
480019501001064|003
480019501001065|003
480019501001066|003
480019501001067|003
480019501001068|003
480019501001069|003
480019501001070|003
480019501001071|003
480019501001072|003
480019501001073|003
480019501001074|003
480019501001075|003
480019501001076|003
480019501001077|003
480019501001078|003
480019501001079|003
480019501001080|003
480019501001081|003
480019501001082|003
480019501001083|003
480019501001084|003
480019501001085|003
480019501001086|003
480019501001087|003
480019501001088|003
480019501001089|003
480019501001090|003
480019501001091|003
480019501002000|003
480019501002001|003
480019501002002|003
480019501002003|003
480019501002004|003
480019501002005|003
480019501002006|003
480019501002007|003
480019501002008|003
480019501002009|003
480019501002010|003
480019501002011|003
480019501002012|003
480019501002013|003
480019501002014|003
480019501002015|003
480019501002016|003
480019501002017|003
480019501002018|003
480019501002019|003
480019501002020|003
480019501002021|003
480019501002022|003
480019501002023|003
480019501002024|003
480019501002025|003
480019501002026|003
480019501002027|003
480019501002028|003
480019501002029|003
480019501002030|003
480019501002031|003
480019501002032|003
480019501002033|003
480019501002034|003
480019501002035|003
480019501002036|003
480019501002037|003
480019501002038|003
480019501002039|003
480019501002040|003
480019501002041|003
480019501002042|003
480019501002043|003
480019501002044|003
480019501002045|003
480019501002046|003
480019501002047|003
480019501002048|003
480019501002049|003
480019501002050|003
480019501002051|003
480019501002052|003
480019501002053|003
480019501002054|003
480019501002055|003
480019501002056|003
480019501002057|003
480019501002058|003
480019501002059|003
480019501002060|003
480019501002061|003
480019501002062|003
480019501002063|003
480019501002064|003
480019501002065|003
480019501002066|003
480019501002067|003
480019501002068|003
480019501002069|003
480019501002070|003
480019501002071|003
480019501002072|003
480019501002073|003
480019501002074|003
480019501002075|003
480019501002076|003
480019501002077|003
480019501002078|003
480019501002079|003
480019501002080|003
480019501002081|003
480019501002082|003
480019501002083|003
480019501002084|003
480019501002085|003
480019501002086|003
480019501002087|003
480019501002088|003
480019501002089|003
480019501002090|003
480019501002091|003
480019501002092|003
480019501002093|003
480019501002094|003
480019501002095|003
480019501002096|003
480019501002097|003
480019501002098|003
480019501002099|003
480019501002100|003
480019501002101|003
480019501002102|003
480019501002103|003
480019501002104|003
480019501002105|003
480019501002106|003
480019501002107|003
480019501002108|003
480019501002109|003
480019501002110|003
480019501002111|003
480019501002112|003
480019501002113|003
480019501002114|003
480019501002115|003
480019501002116|003
480019501002117|003
480019501002118|003
480019501002119|003
480019501002120|003
480019501002121|003
480019501002122|003
480019501002123|003
480019501002124|003
480019501002125|003
480019501002126|003
480019501002127|003
480019501002128|003
480019501002129|003
480019501002130|003
480019501002131|003
480019501002132|003
480019501002133|003
480019501002134|003
480019501002135|003
480019501002136|003
480019501002137|003
480019501002138|003
480019501002139|003
480019501002140|003
480019501002141|003
480019501002142|003
480019501002143|003
480019501002144|003
480019501002145|003
480019501002146|003
480019501002147|003
480019501002148|003
480019501002149|003
480019501002150|003
480019501002151|003
480019501002152|003
480019501002153|003
480019501002154|003
480019501002155|003
480019501002156|003
480019501002157|003
480019501002158|003
480019501002159|003
480019501002160|003
480019501002161|003
480019501002162|003
480019501002163|003
480019501002164|003
480019501003000|003
480019501003001|003
480019501003002|003
480019501003003|003
480019501003004|003
480019501003005|003
480019501003006|003
480019501003007|003
480019501003008|003
480019501003009|003
480019501003010|003
480019501003011|003
480019501003012|003
480019501003013|003
480019501003014|003
480019501003015|003
480019501003016|003
480019501003017|003
480019501003018|003
480019501003019|003
480019501003020|003
480019501003021|003
480019501003022|003
480019501003023|003
480019501003024|003
480019501003025|003
480019501003026|003
480019501003027|003
480019501003028|003
480019501003029|003
480019501003030|003
480019501003031|003
480019501003032|003
480019501003033|003
480019501003034|003
480019501003035|003
480019501003036|003
480019501003037|003
480019501003038|003
480019501003039|003
480019501003040|003
480019501003041|003
480019501003042|003
480019501003043|003
480019501003044|003
480019501003045|003
480019501003046|003
480019501003047|003
480019501003048|003
480019501003049|003
480019501003050|003
480019501003051|003
480019501003052|003
480019501003053|003
480019501003054|003
480019501003055|003
480019501003056|003
480019501003057|003
480019501003058|003
480019501003059|003
480019501003060|003
480019501003061|003
480019501003062|003
480019501003063|003
480019501003064|003
480019501003065|003
480019501003066|003
480019501003067|003
480019501003068|003
480019501003069|003
480019501003070|003
480019501003071|003
480019501003072|003
480019501003073|003
480019501003074|003
480019501003075|003
480019501003076|003
480019501003077|003
480019501003078|003
480019501003079|003
480019501003080|003
480019501003081|003
480019501003082|003
480019501003083|003
480019501003084|003
480019501003085|003
480019501003086|003
480019501003087|003
480019501003088|003
480019501003089|003
480019501003090|003
480019504011000|003
480019504011001|003
480019504011002|003
480019504011003|003
480019504011004|003
480019504011005|003
480019504011006|003
480019504011007|003
480019504011008|003
480019504011009|003
480019504011010|003
480019504011011|003
480019504011012|003
480019504011013|003
480019504011014|003
480019504011015|003
480019504011016|003
480019504011017|003
480019504011018|003
480019504011019|003
480019504011020|003
480019504021000|003
480019504021001|003
480019504021002|003
480019504021003|003
480019504021004|003
480019504021005|003
480019504021006|003
480019504021007|003
480019504021008|003
480019504021009|003
480019504021010|003
480019504021011|003
480019504021012|003
480019504021013|003
480019504021014|003
480019504021015|003
480019504021016|003
480019504021017|003
480019504021018|003
480019504021019|003
480019504021020|003
480019504021021|003
480019504021022|003
480019504021023|003
480019504021024|003
480019504021025|003
480019504021026|003
480019504021027|003
480019504021028|003
480019504021029|003
480019504021030|003
480019504021031|003
480019504021032|003
480019504021033|003
480019504021034|003
480019504021035|003
480019504021036|003
480019505001000|003
480019505001001|003
480019505001002|003
480019505001003|003
480019505001004|003
480019505001005|003
480019505001006|003
480019505001007|003
480019505001008|003
480019505001009|003
480019505001010|003
480019505001011|003
480019505001012|003
480019505001013|003
480019505001014|003
480019505001015|003
480019505001016|003
480019505001017|003
480019505001018|003
480019505001019|003
480019505001020|003
480019505001021|003
480019505001022|003
480019505001023|003
480019505001024|003
480019505001025|003
480019505001026|003
480019505001027|003
480019505001028|003
480019505001029|003
480019505001030|003
480019505001031|003
480019505001032|003
480019505001033|003
480019505001034|003
480019505002000|003
480019505002001|003
480019505002002|003
480019505002003|003
480019505002004|003
480019505002005|003
480019505002006|003
480019505002007|003
480019505002008|003
480019505002009|003
480019505002010|003
480019505002011|003
480019505002012|003
480019505002013|003
480019505002014|003
480019505002015|003
480019505002016|003
480019505002017|003
480019505002018|003
480019505002019|003
480019505002020|003
480019505002021|003
480019505002022|003
480019505002023|003
480019505002024|003
480019505002025|003
480019505002026|003
480019505002027|003
480019505002028|003
480019505002029|003
480019505002030|003
480019505002031|003
480019505003000|003
480019505003001|003
480019505003002|003
480019505003003|003
480019505003004|003
480019505003005|003
480019505003006|003
480019505003007|003
480019505003008|003
480019505003009|003
480019505003010|003
480019505003011|003
480019505003012|003
480019505003013|003
480019505003014|003
480019505003015|003
480019505003016|003
480019505003017|003
480019505003018|003
480019505003019|003
480019505003020|003
480019505003021|003
480019505003022|003
480019505003023|003
480019505003024|003
480019505003025|003
480019505003026|003
480019505003027|003
480019505003028|003
480019505003029|003
480019505003030|003
480019505003031|003
480019505003032|003
480019505003033|003
480019505003034|003
480019505003035|003
480019505003036|003
480019505003037|003
480019505003038|003
480019505003039|003
480019505003040|003
480019505003041|003
480019505003042|003
480019505003043|003
480019505003044|003
480019505003045|003
480019505003046|003
480019505003047|003
480019505003048|003
480019505003049|003
480019505003050|003
480019505003051|003
480019505003052|003
480019505003053|003
480019505003054|003
480019505003055|003
480019505003056|003
480019505003057|003
480019505003058|003
480019505003059|003
480019505003060|003
480019505003061|003
480019505003062|003
480019505003063|003
480019505003064|003
480019505003065|003
480019505003066|003
480019505003067|003
480019505003068|003
480019505003069|003
480019505003070|003
480019505003071|003
480019505003072|003
480019505003073|003
480019505003074|003
480019505003075|003
480019505003076|003
480019505003077|003
480019505003078|003
480019505003079|003
480019505003080|003
480019505003081|003
480019505003082|003
480019505003083|003
480019505004000|003
480019505004001|003
480019505004002|003
480019505004003|003
480019505004004|003
480019505004005|003
480019505004006|003
480019505004007|003
480019505004008|003
480019505004009|003
480019505004010|003
480019505004011|003
480019505004012|003
480019505004013|003
480019505004014|003
480019505004015|003
480019505004016|003
480019505004017|003
480019505004018|003
480019505004019|003
480019505004020|003
480019505004021|003
480019505004022|003
480019505004023|003
480019505004024|003
480019505004025|003
480019505004026|003
480019505004027|003
480019505004028|003
480019505004029|003
480019505004030|003
480019505004031|003
480019505004032|003
480019505004033|003
480019505004034|003
480019505004035|003
480019505004036|003
480019505004037|003
480019505004038|003
480019505004039|003
480019505004040|003
480019505004041|003
480019506001000|003
480019506001001|003
480019506001002|003
480019506001003|003
480019506001004|003
480019506001005|003
480019506001006|003
480019506001007|003
480019506001008|003
480019506001009|003
480019506001010|003
480019506001011|003
480019506001012|003
480019506001013|003
480019506001014|003
480019506001015|003
480019506001016|003
480019506001017|003
480019506001018|003
480019506001019|003
480019506001020|003
480019506001021|003
480019506001022|003
480019506001023|003
480019506001024|003
480019506001025|003
480019506001026|003
480019506001027|003
480019506001028|003
480019506001029|003
480019506001030|003
480019506001031|003
480019506001032|003
480019506001033|003
480019506001034|003
480019506001035|003
480019506001036|003
480019506001037|003
480019506001038|003
480019506001039|003
480019506001040|003
480019506001041|003
480019506001042|003
480019506001043|003
480019506001044|003
480019506001045|003
480019506001046|003
480019506001047|003
480019506001048|003
480019506001049|003
480019506001050|003
480019506001051|003
480019506001052|003
480019506001053|003
480019506001054|003
480019506001055|003
480019506001056|003
480019506001057|003
480019506001058|003
480019506001059|003
480019506001060|003
480019506001061|003
480019506001062|003
480019506001063|003
480019506001064|003
480019506001065|003
480019506001066|003
480019506001067|003
480019506001068|003
480019506001069|003
480019506001070|003
480019506001071|003
480019506001072|003
480019506001073|003
480019506001074|003
480019506001075|003
480019506001076|003
480019506001077|003
480019506001078|003
480019506001079|003
480019506002000|003
480019506002001|003
480019506002002|003
480019506002003|003
480019506002004|003
480019506002005|003
480019506002006|003
480019506002007|003
480019506002008|003
480019506002009|003
480019506002010|003
480019506002011|003
480019506002012|003
480019506002013|003
480019506002014|003
480019506002015|003
480019506002016|003
480019506002017|003
480019506002018|003
480019506002019|003
480019506002020|003
480019506002021|003
480019506002022|003
480019506002023|003
480019506002024|003
480019506002025|003
480019506002026|003
480019506002027|003
480019506002028|003
480019506002029|003
480019506002030|003
480019506002031|003
480019506002032|003
480019506002033|003
480019506002034|003
480019506002035|003
480019506002036|003
480019506003000|003
480019506003001|003
480019506003002|003
480019506003003|003
480019506003004|003
480019506003005|003
480019506003006|003
480019506003007|003
480019506003008|003
480019506003009|003
480019506003010|003
480019506003011|003
480019506003012|003
480019506003013|003
480019506003014|003
480019506003015|003
480019506003016|003
480019506003017|003
480019506003018|003
480019506003019|003
480019506003020|003
480019506003021|003
480019506003022|003
480019506003023|003
480019506003024|003
480019506003025|003
480019506003026|003
480019506003027|003
480019506003028|003
480019506003029|003
480019506003030|003
480019506003031|003
480019506003032|003
480019506003033|003
480019506003034|003
480019506003035|003
480019506003036|003
480019506003037|003
480019506003038|003
480019506003039|003
480019506003040|003
480019506003041|003
480019506003042|003
480019506003043|003
480019506003044|003
480019506003045|003
480019506003046|003
480019506003047|003
480019506003048|003
480019506003049|003
480019506003050|003
480019506003051|003
480019506003052|003
480019506003053|003
480019506003054|003
480019506003055|003
480019506003056|003
480019506003057|003
480019506003058|003
480019506003059|003
480019506003060|003
480019506003061|003
480019506003062|003
480019506003063|003
480019506003064|003
480019506003065|003
480019506003066|003
480019506003067|003
480019506003068|003
480019506003069|003
480019506003070|003
480019506003071|003
480019506003072|003
480019506003073|003
480019506003074|003
480019506003075|003
480019506003076|003
480019506003077|003
480019506003078|003
480019506003079|003
480019506003080|003
480019506003081|003
480019506003082|003
480019506003083|003
480019506003084|003
480019506003085|003
480019506003086|003
480019506003087|003
480019506003088|003
480019506003089|003
480019506004000|003
480019506004001|003
480019506004002|003
480019506004003|003
480019506004004|003
480019506004005|003
480019506004006|003
480019506004007|003
480019506004008|003
480019506004009|003
480019506004010|003
480019506004011|003
480019506004012|003
480019506004013|003
480019506004014|003
480019506004015|003
480019506004016|003
480019506004017|003
480019506004018|003
480019506004019|003
480019506004020|003
480019506004021|003
480019506004022|003
480019506004023|003
480019506004024|003
480019506004025|003
480019506004026|003
480019506004027|003
480019506004028|003
480019506004029|003
480019506004030|003
480019506004031|003
480019507001000|003
480019507001001|003
480019507001002|003
480019507001003|003
480019507001004|003
480019507001005|003
480019507001006|003
480019507001007|003
480019507001008|003
480019507001009|003
480019507001010|003
480019507001011|003
480019507001012|003
480019507001013|003
480019507001014|003
480019507001015|003
480019507001016|003
480019507001017|003
480019507001018|003
480019507001019|003
480019507001020|003
480019507001021|003
480019507001022|003
480019507001023|003
480019507001024|003
480019507001025|003
480019507001026|003
480019507001027|003
480019507001028|003
480019507001029|003
480019507001030|003
480019507001031|003
480019507001032|003
480019507001033|003
480019507001034|003
480019507001035|003
480019507001036|003
480019507001037|003
480019507001038|003
480019507001039|003
480019507001040|003
480019507001041|003
480019507001042|003
480019507001043|003
480019507001044|003
480019507002000|003
480019507002001|003
480019507002002|003
480019507002003|003
480019507002004|003
480019507002005|003
480019507002006|003
480019507002007|003
480019507002008|003
480019507002009|003
480019507002010|003
480019507002011|003
480019507002012|003
480019507002013|003
480019507002014|003
480019507002015|003
480019507002016|003
480019507002017|003
480019507002018|003
480019507002019|003
480019507002020|003
480019507002021|003
480019507002022|003
480019507002023|003
480019507002024|003
480019507002025|003
480019507002026|003
480019507002027|003
480019507002028|003
480019507002029|003
480019507002030|003
480019507002031|003
480019507002032|003
480019507002033|003
480019507002034|003
480019507002035|003
480019507002036|003
480019507002037|003
480019507002038|003
480019507002039|003
480019507002040|003
480019507002041|003
480019507002042|003
480019507002043|003
480019507003000|003
480019507003001|003
480019507003002|003
480019507003003|003
480019507003004|003
480019507003005|003
480019507003006|003
480019507003007|003
480019507003008|003
480019507003009|003
480019507003010|003
480019507003011|003
480019507003012|003
480019507003013|003
480019507003014|003
480019507003015|003
480019507003016|003
480019507003017|003
