BLOCKID|COUNTYFP|DISTRICT
480019501001000|001|000018
480019501001001|001|000018
480019501001002|001|000018
480019501001003|001|000018
480019501001004|001|000018
480019501001005|001|000018
480019501001006|001|000018
480019501001007|001|000018
480019501001008|001|000018
480019501001009|001|000018
480019501001010|001|000018
480019501001011|001|000018
480019501001012|001|000018
480019501001013|001|000018
480019501001014|001|000018
480019501001015|001|000018
480019501001016|001|000018
480019501001017|001|000018
480019501001018|001|000018
480019501001019|001|000018
480019501001020|001|000018
480019501001021|001|000018
480019501001022|001|000018
480019501001023|001|000018
480019501001024|001|000018
480019501001025|001|000018
480019501001026|001|000018
480019501001027|001|000018
480019501001028|001|000018
480019501001029|001|000018
480019501001030|001|000018
480019501001031|001|000018
480019501001032|001|000018
480019501001033|001|000018
480019501001034|001|000018
480019501001035|001|000018
480019501001036|001|000018
480019501001037|001|000018
480019501001038|001|000018
480019501001039|001|000018
480019501001040|001|000018
480019501001041|001|000018
480019501001042|001|000018
480019501001043|001|000018
480019501001044|001|000018
480019501001045|001|000018
480019501001046|001|000018
480019501001047|001|000018
480019501001048|001|000018
480019501001049|001|000018
480019501001050|001|000018
480019501001051|001|000018
480019501001052|001|000018
480019501001053|001|000018
480019501001054|001|000018
480019501001055|001|000018
480019501001056|001|000018
480019501001057|001|000018
480019501001058|001|000018
480019501001059|001|000018
480019501001060|001|000018
480019501001061|001|000018
480019501001062|001|000018
480019501001063|001|000018
480019501001064|001|000018
480019501001065|001|000018
480019501001066|001|000018
480019501001067|001|000018
480019501001068|001|000018
480019501001069|001|000018
480019501001070|001|000018
480019501001071|001|000018
480019501001072|001|000018
480019501001073|001|000018
480019501001074|001|000018
480019501001075|001|000018
480019501001076|001|000018
480019501001077|001|000018
480019501001078|001|000018
480019501001079|001|000018
480019501001080|001|000018
480019501001081|001|000018
480019501001082|001|000018
480019501001083|001|000018
480019501001084|001|000018
480019501001085|001|000018
480019501001086|001|000018
480019501001087|001|000018
480019501001088|001|000018
480019501001089|001|000018
480019501001090|001|000018
480019501001091|001|000018
480019501002000|001|000018
480019501002001|001|000018
480019501002002|001|000018
480019501002003|001|000018
480019501002004|001|000018
480019501002005|001|000018
480019501002006|001|000018
480019501002007|001|000018
480019501002008|001|000018
480019501002009|001|000018
480019501002010|001|000018
480019501002011|001|000018
480019501002012|001|000018
480019501002013|001|000018
480019501002014|001|000018
480019501002015|001|000018
480019501002016|001|000018
480019501002017|001|000018
480019501002018|001|000018
480019501002019|001|000018
480019501002020|001|000018
480019501002021|001|000018
480019501002022|001|000018
480019501002023|001|000018
480019501002024|001|000018
480019501002025|001|000018
480019501002026|001|000018
480019501002027|001|000018
480019501002028|001|000018
480019501002029|001|000018
480019501002030|001|000018
480019501002031|001|000018
480019501002032|001|000018
480019501002033|001|000018
480019501002034|001|000018
480019501002035|001|000018
480019501002036|001|000018
480019501002037|001|000018
480019501002038|001|000018
480019501002039|001|000018
480019501002040|001|000018
480019501002041|001|000018
480019501002042|001|000018
480019501002043|001|000018
480019501002044|001|000018
480019501002045|001|000018
480019501002046|001|000018
480019501002047|001|000018
480019501002048|001|000018
480019501002049|001|000018
480019501002050|001|000018
480019501002051|001|000018
480019501002052|001|000018
480019501002053|001|000018
480019501002054|001|000018
480019501002055|001|000018
480019501002056|001|000018
480019501002057|001|000018
480019501002058|001|000018
480019501002059|001|000018
480019501002060|001|000018
480019501002061|001|000018
480019501002062|001|000018
480019501002063|001|000018
480019501002064|001|000018
480019501002065|001|000018
480019501002066|001|000018
480019501002067|001|000018
480019501002068|001|000018
480019501002069|001|000018
480019501002070|001|000018
480019501002071|001|000018
480019501002072|001|000018
480019501002073|001|000018
480019501002074|001|000018
480019501002075|001|000018
480019501002076|001|000018
480019501002077|001|000018
480019501002078|001|000018
480019501002079|001|000018
480019501002080|001|000018
480019501002081|001|000018
480019501002082|001|000018
480019501002083|001|000018
480019501002084|001|000018
480019501002085|001|000018
480019501002086|001|000018
480019501002087|001|000018
480019501002088|001|000018
480019501002089|001|000023
480019501002090|001|000023
480019501002091|001|000023
480019501002092|001|000018
480019501002093|001|000018
480019501002094|001|000018
480019501002095|001|000018
480019501002096|001|000018
